Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
2004-01-01,3.9,0.0,268.0,0.0
2004-01-02,3.9,0.0,268.0,0.0
2004-01-03,3.9,0.0,267.0,0.0
2004-01-04,3.9,0.0,267.0,0.0
2004-01-05,3.8,0.0,267.0,0.0
2004-01-06,3.8,0.0,266.0,0.0
2004-01-07,3.8,0.0,266.0,0.0
2004-01-08,3.7,0.0,265.0,0.0
2004-01-09,3.7,0.0,264.0,0.0
2004-01-10,3.7,0.0,264.0,0.0
2004-01-11,3.6,0.0,263.0,0.0
2004-01-12,3.6,0.0,262.0,0.0
2004-01-13,3.6,0.0,261.0,0.0
2004-01-14,3.5,0.0,260.0,0.0
2004-01-15,3.5,0.0,259.0,0.0
2004-01-16,3.4,0.0,258.0,0.0
2004-01-17,3.4,0.0,256.0,0.0
2004-01-18,3.4,0.0,254.0,0.0
2004-01-19,3.4,0.0,252.0,0.0
2004-01-20,3.4,0.0,250.0,0.0
2004-01-21,3.3,0.0,247.0,0.0
2004-01-22,3.3,0.0,244.0,0.0
2004-01-23,3.3,0.0,242.0,0.0
2004-01-24,3.3,0.0,239.0,0.0
2004-01-25,3.2,0.0,237.0,0.0
2004-01-26,3.2,0.0,234.0,0.0
2004-01-27,3.9,0.0,232.0,0.0
2004-01-28,4.9,0.0,230.0,0.0
2004-01-29,4.9,0.0,227.0,0.0
2004-01-30,4.9,0.0,225.0,0.0
2004-01-31,4.8,0.0,223.0,0.0
2004-02-01,4.8,0.0,220.0,0.0
2004-02-02,4.8,0.0,218.0,0.0
2004-02-03,4.7,0.0,216.0,0.0
2004-02-04,4.7,0.0,213.0,0.0
2004-02-05,4.7,0.0,211.0,0.0
2004-02-06,4.6,0.0,209.0,0.0
2004-02-07,4.6,0.0,206.0,0.0
2004-02-08,4.6,0.0,204.0,0.0
2004-02-09,4.5,0.0,202.0,0.0
2004-02-10,4.5,0.0,200.0,0.0
2004-02-11,4.5,0.0,197.0,0.0
2004-02-12,4.4,0.0,195.0,0.0
2004-02-13,4.4,0.0,193.0,0.0
2004-02-14,4.4,0.0,191.0,0.0
2004-02-15,4.3,0.0,189.0,0.0
